id,title,owner_org,maintainer,Extensão geográfica,Série histórica,groups,Tipo de armazenamento,Formato do arquivo,Sistema Gerenciador de Banco de Dados,Ambiente de produção,name,notes,tags,Histórico,Procedência de dados,Periodicidade,Situação do processo,Nível de desagregação,Lacunas identificadas pela unidade produtora,Tipo(s) de representação,Escala (apenas  para representação vetorial ou matricial),Sistemas de referência / projeção cartográfica,Base cartográfica utilizada,Extensão do arquivo/formato/software,"Existe(m), nesta base de dados, informação(ões) classificada(s) em algum grau de sigilo?",Forma(s) de disponibilização,url,Endereço e procedimentos para acesso,,,,,,
300,REM -Relatório Estatístico Mensal ,AHM,Departamento de Tecnologia da Informação DTI ,Município,2012 - 2014,saúde,Banco de Dados ,Outro. MySql,MySQL ,Windows,REM - Relatório Estatístico Mensal,"Dados de produção assistencial, recursos humanos e financeiros dos hospitais, prontos socorros e prontos atendimentos da rede municipal","indicadores, produção, informações gerenciais","Software desenvolvido pela TI/AHM, implantação em 2012 em todos hospitais e prontos socorros municipais. A manutenção é realizada pela DTI/AHM continuamente, sempre que necessário.",Outro:,"Registro de internações, produção de urgência e emergência, Centro Cirúrgico, SADT e Informações Gerenciais",mensal,,ativo,"Registro Individual ou pontual (pessoa,estabelecimento,objeto,ponto etc.)",,,"alfanumérica (textos, números - p. ex. tabela)",MySql,"SIM (Conforme Lei Federal n.12.527/2011 (especialmente o art. 23), Decreto Municipal n. 53.623/2012 e Decreto Municipal n. 54.779/2014",Intranet,http://10.45.232.80,Necessário usuário e senha solicitação para Luana - lpaiva@prefeitura.sp.gov.br,,,,,,
470,Hospub – Sistema de Gestão Hospitalar Informatizado    ,AHM,Departamento de Tecnologia da Informação DTI ,Município,2006-2014,saúde,Banco de Dados ,Outro. OpenBase,0,Linux,Hospub – Sistema Integrado de Informatização de Ambiente Hospitalar,"Cadastro de pacientes, dados epidemiológicos e morbidade, procedimentos hospitalares","hospub, registro hospitalar, emergência, internação","Software desenvolvido pelo Ministério da Saúde, manutenção descontinuada. ",Outro:,"Cadastro de paciente, registro do atendimento na assistência",diário,,ativo,"Registro Individual ou pontual (pessoa,estabelecimento,objeto,ponto etc.)",,,"alfanumérica (textos, números - p. ex. tabela)",TXT,,"SIM (Conforme Lei Federal n.12.527/2011 (especialmente o art. 23), Decreto Municipal n. 53.623/2012 e Decreto Municipal n. 54.779/2014",Rede local,,"Acesso apenas localmente na unidade. Qualquer tipo de solicitação de dados, deverá ser feito para AHM. Luana - lpaiva@prefeitura.sp.gov.br",,,,,
81,Quantidade de Residuos Coletados - Coleta Domiciliar,AMLURB,Diretoria de Gestçao de Serviços - DGS,Município,Desde 2006,meio ambiente,Arquivo de dados,".xls (MS EXCEL), .pdf (Adobe)",0,"Windows, Excel versão 2007",Quantidade de Residuos Coletados - Coleta Domiciliar,Quantitativo dos Residuos Domiciliares Coletados no municipio,"Coleta Domiciliar, Quantidade de Residuos Coletados,","Historico das quantidades de residuos domiciliares coletados no municipio e destinados nos aterro. Serviço de coleta, transporte, tratamento e destinação final dos residuos realizados pelas empresas contratadas pela PMSP.",relatório,mensal,ativo,Município,"Considerar e Observar, Quantidade de Residuos Domiciliares.","alfanumérica (textos, números - p.ex. tabelas)",0,Não se aplica,Não se aplica,XLS,NÃO,Internet,www.amlurb.sp.gov.br,O interessado poderá acessar a pagina www.amlurb.sp.gov.br ou solicitar informações por e-mail: amlurb@prefeitura.sp.gov.br,,,,,,
82,Quantidade de Residuos Coletados - Coleta Seletiva,AMLURB,Diretoria de Gestão de Serviços - DGS,Município,Desde 2006,meio ambiente,Arquivo de dados,.xls (MS EXCEL),0,"Windows, Excel versão 2007",Quantidade de Residuos Coletados - Coleta Seletiva,"Quantitativo dos residuos reciclaveis coletados no municipio, por região, subprefeitura, data.","Coleta Seletiva, Reciclaveis, Quantidade Coletada Coleta Seletiva",Historico das quantidades de residuos reciclaveis coletadas no municipio. Atualização mensal dos dados.,relatório,mensal,ativo,Município,Considerar e Observar a quantidade de residuos reciclaveis em relação aos residuos efetivamente coletados.,"alfanumérica (textos, números - p.ex. tabelas)",0,Não se aplica,Não se aplica,XLS,NÃO,Internet,www.amlurb.sp.gov.br,Os interessados podem acessar a pagina: www.amlurb.sp.gov.br ou solicitar por email: amlurb@prefeitura.sp.gov.br,,,,,,
83,Quantidade de Residuos Coletados - Coleta de Residuos de Saude - RSS,AMLURB,Diretoria de Gestão de Serviços - DGS,Município,Desde 2006,meio ambiente,Arquivo de dados,.xls (MS EXCEL),0,"Windows, Excel versão 2007",Quantidade de Residuos Coletados - Coleta de Residuos De Saúde,"Qunatitativos dos residuos coletados referente aos serviços de saude (hospitais, clinicas, consultorios)","Residuo de Saude, quantidade de residuos de saude coletados","Historico dos Residuos dos Serviços de Saude, coletados mensalmente pelas empresas Concessionarias responsáveis pela coleta desses residuos. Arquivo atualizado mensalmente.",relatório,mensal,ativo,Município,Não apontado,"alfanumérica (textos, números - p.ex. tabelas)",0,Não se aplica,Não se aplica,XLS,NÃO,Internet,www.amlurb.sp.gov.br,"O interessado poderá acessar a nossa pagina na Internet: www.amlurb.sp.gov.br, ou encaminhar por e-mail: amlurb@prefeitura.sp.gov.br",,,,,,
84,Quantididade de Entulho e Grandes Objetos Coletados,AMLURB,Diretoria de Gestão de Serviços - DGS,Município,Desde 2006,meio ambiente,Arquivo de dados,.xls (MS EXCEL),0,"Windows, Excel versão 2007",Quantidade de Entulho e Grandes Objetos Coletados,Quantitativos dos residuos coletados: Entulho e Grandes Objetos descartados irregularmente.,"Coleta de Entulho, Entulho, Coleta de Grandes Objetos",Historico dos residuos coletados e disponibilizados em aterros. Atualização mensal das informações.,relatório,mensal,ativo,Município,"Considerar e Observar: Quantidade de Entulho e Grandes Objetos como sofas, armários, colchão.","alfanumérica (textos, números - p.ex. tabelas)",0,Não se aplica,Não se aplica,XLS,NÃO,Internet,www.amlurb.sp.gov.br,O Interessado poderá acessar nossa pagina: www.amlurb.sp.gov.br ou solicitar as informações via e-mail: amlurb@prefeitura.sp.gov.br,,,,,,
85,Quantidade de Residuos Coletados - Varrição,AMLURB,Diretoria de Gestão de Serviços - DGS,Município,0,0,Arquivo de dados,.xls (MS EXCEL),0,"Windows, Excel versão 2007",Quantidade de residuos Coletados - Varrição,Quantitativos dos residuos provenientes da varrição de vias e logradouros.,"varrição, Coleta de Varrição, Quantidade de Residuos de Varrição",Historico dos residuos coletados provenientes da varrição. Arquivo atualizado mensalmente.,relatório,mensal,ativo,Município,Considerar e Observar somente os residuos coletados referente à Varrição.,"alfanumérica (textos, números - p.ex. tabelas)",0,Não se aplica,Não se aplica,XLS,NÃO,Internet,www.amlurb.sp.gov.br,O Interessado poderá acessar nossa pagina na Internet: www.amlurb.sp.gov.br ou solicitar as informações via e-mail: amlurb@prefeitura.sp.gov.br,,,,,,
86,Quantidade de Ocorrencias Registradas - Limpeza Urbana,AMLURB,Assessoria Especial de Proteção ao Usuário - A.E.P.U,Município,Desde 2006,0,Arquivo de dados,.xls (MS EXCEL),0,"Windows, Excel versão 2007",Quantidade de Ocorrecias Registradas  - Limpeza Urbana,"Numero das Ocorrencias, reclamações, solicitações, registradas no sistema para os serviços de limpeza urbana.","Numero de Reclamações, Ocorrencias Registradas","Numero de ocorrencias registradas no sistema, relacionadas por serviço, por agrupamento, por subprefeitura, por data. arquivo atualizado mensalmente",relatório,mensal,ativo,Município,Considerar e observar o numero de ocorrencias registradas no sistema.,"alfanumérica (textos, números - p.ex. tabelas)",0,Não se aplica,Não se aplica,XLS,NÃO,Internet,www.amlurb.sp.gov.br,"O interessado poderá acessar a pagina: www.amlurb.sp.gov.br
ou solicitar por meio do enderaço eletronico: amlurb@prefeitura.sp.gov.br",,,,,,
87,Empresas Cadastradas em AMLURB,AMLURB,Diretoria de Gestão de Serviços - DGS,Município,2013,meio ambiente,Arquivo de dados,.xls (MS EXCEL),0,"Windows, Excel versão 2007",Empresas Cadastradas em Amlurb,Relação das empresas cadastradas na Autoridade Municipal de Limpeza Urbana - AMLURB à prestar serviços no municipio.,"Empresas Cadastradas, Cadastro",Arquivo com as empresas autorizadas à prestar serviços no municipio. Arquivo atualizado constantemente.,cadastro ou registro administrativo,contínuo,ativo,Município,Considerar e Observar a versão de atualização dos dados promovida por Amlurb.,"alfanumérica (textos, números - p.ex. tabelas)",0,Não se aplica,Não se aplica,XLS,NÃO,Internet,www.amlurb.sp.gov.br,O interessado poderá acessar nossa pagina na Internet: www.amlurb.sp.gov.br ou solicitar pelo e-mail: amlurb@prefeitura.sp.gov.br,,,,,,
88,Ecopontos,AMLURB,Diretoria de Gestão e Planejamento - DGS e DPD,Município,2014,meio ambiente,Arquivo de dados,.xls (MS EXCEL),0,"Windows, Exce versão 2007",ECOPONTOS,"Numero de equipamentos publicos destinados ao descarte de residuos da construção civil e grandes objetos, denominados Ecopontos. O equipamento atende ao pequeno gerador de residuos e admite o descarte de até 1 metro cubico por dia.","Ecoponto, Descarte Regular de Entulho",Relação com o numero de Ecopontos instalados no municipio. Atualizado quando da inauguração de novos equipamentos.,relatório,eventual,ativo,Município,Não apontado,"alfanumérica (textos, números - p.ex. tabelas)",0,Não se aplica,Não se aplica,DOC,NÃO,Internet,www.amlurb.sp.gov.br,O interessado podera acessar nossa pagina na internet: www.amlurb.sp.gov.br ou solicitar via email: amlurb@prefeitura.sp.gov.br,,,,,,
